spikes,icis,rep
-932.166666666555,1,1
-726.799999999888,1,1
-306.666666666555,1,1
-206.666666666555,1,1
31.4000000001124,1,1
169.000000000113,1,1
276.966666666778,1,1
412.600000000111,1,1
558.666666666779,1,1
1325.63333333345,1,1
1525.46666666678,1,1
1851.23333333344,1,1
2038.96666666678,1,1
2424.40000000011,1,1
2843.03333333344,1,1
2860.30000000011,1,1
-394.533333333313,2,1
-366.933333333312,2,1
-234.699999999979,2,1
-101.066666666646,2,1
-73.4333333333125,2,1
29.8333333333539,2,1
194.633333333355,2,1
253.733333333354,2,1
293.733333333355,2,1
851.066666666688,2,1
968.166666666688,2,1
1023.63333333335,2,1
1195.10000000002,2,1
1374.66666666669,2,1
1507.60000000002,2,1
2034.63333333336,2,1
2225.20000000002,2,1
2430.56666666669,2,1
2850.70000000002,2,1
2950.70000000002,2,1
-903.699999999932,4,1
-833.399999999932,4,1
-205.166666666599,4,1
-46.466666666598,4,1
17.4666666667363,4,1
389.266666666736,4,1
770.400000000067,4,1
1296.26666666674,4,1
1335.9333333334,4,1
1460.1333333334,4,1
1887.7333333334,4,1
1902.10000000007,4,1
2075.46666666674,4,1
2160.60000000007,4,1
2625.9333333334,4,1
-882.133333333317,8,1
-755.466666666653,8,1
-365.833333333314,8,1
868.733333333352,8,1
948.166666666686,8,1
952.900000000009,8,1
1865.70000000002,8,1
1977.00000000001,8,1
2207.83333333334,8,1
2317.03333333335,8,1
2332.06666666668,8,1
2362.33333333335,8,1
2512.36666666668,8,1
2578.03333333335,8,1
2797.50000000002,8,1
-808.600000000049,16,1
-530.866666666716,16,1
-427.600000000049,16,1
-194.900000000049,16,1
17.2999999999483,16,1
26.4999999999527,16,1
307.166666666617,16,1
722.399999999951,16,1
1291.69999999995,16,1
1748.83333333328,16,1
1757.29999999995,16,1
2093.96666666662,16,1
2232.33333333328,16,1
2302.63333333328,16,1
2930.86666666662,16,1
-706.333333333298,32,1
-287.699999999966,32,1
-270.433333333298,32,1
-51.4666666666308,32,1
470.533333333367,32,1
1005.60000000004,32,1
2306.10000000003,32,1
2583.83333333337,32,1
2687.10000000003,32,1
2919.80000000004,32,1
-943.433333333225,64,1
-478.099999999893,64,1
299.966666666776,64,1
427.633333333441,64,1
484.833333333441,64,1
547.000000000109,64,1
562.066666666775,64,1
700.366666666774,64,1
844.700000000106,64,1
974.000000000109,64,1
1046.20000000011,64,1
1830.70000000011,64,1
1982.36666666677,64,1
2114.23333333344,64,1
2276.16666666677,64,1
2620.83333333344,64,1
-995.166666666606,128,1
-833.233333333275,128,1
-488.566666666607,128,1
-76.6333333332732,128,1
164.133333333393,128,1
644.966666666725,128,1
956.700000000059,128,1
961.666666666726,128,1
1207.66666666673,128,1
1276.10000000006,128,1
1325.20000000006,128,1
1725.53333333339,128,1
1984.03333333339,128,1
2283.56666666673,128,1
2443.40000000006,128,1
2595.66666666673,128,1
2807.30000000006,128,1
-825.800000000076,256,1
-665.966666666744,256,1
-513.700000000077,256,1
-302.066666666746,256,1
23.1999999999243,256,1
303.099999999926,256,1
475.599999999922,256,1
813.26666666659,256,1
1315.13333333325,256,1
1478.33333333326,256,1
1488.86666666658,256,1
2227.23333333326,256,1
2353.89999999992,256,1
2743.53333333326,256,1
-988.13333333336,1,2
-942.833333333365,1,2
-925.400000000023,1,2
-831.000000000029,1,2
-492.333333333365,1,2
-490.266666666692,1,2
-380.366666666698,1,2
-77.0666666666948,1,2
243.133333333302,1,2
572.466666666638,1,2
603.033333333304,1,2
702.699999999968,1,2
1718.96666666664,1,2
2042.66666666664,1,2
2043.86666666664,1,2
2340.26666666664,1,2
2612.93333333331,1,2
2788.09999999997,1,2
-758.766666666656,2,2
-658.93333333332,2,2
-489.233333333323,2,2
-376.666666666657,2,2
25.0000000000073,2,2
124.700000000012,2,2
695.933333333349,2,2
709.133333333346,2,2
1014.10000000001,2,2
1590.23333333334,2,2
2030.73333333334,2,2
2255.60000000001,2,2
2256.36666666668,2,2
2513.36666666668,2,2
2688.53333333335,2,2
2790.26666666668,2,2
2991.60000000001,2,2
-951.033333333304,4,2
-826.899999999965,4,2
-803.333333333299,4,2
-629.533333333304,4,2
-555.999999999971,4,2
-77.7333333333008,4,2
-57.7333333333081,4,2
19.7666666666992,4,2
625.600000000035,4,2
954.166666666701,4,2
1077.2666666667,4,2
1380.90000000003,4,2
1445.43333333337,4,2
1701.63333333337,4,2
1894.1666666667,4,2
1939.83333333336,4,2
2330.4666666667,4,2
2503.63333333337,4,2
2620.3666666667,4,2
2987.80000000003,4,2
-774.466666666689,8,2
-501.800000000025,8,2
-326.63333333336,8,2
-110.533333333355,8,2
1105.66666666664,8,2
1994.06666666664,8,2
2032.76666666664,8,2
2345.26666666664,8,2
2445.09999999998,8,2
2614.79999999997,8,2
2727.36666666664,8,2
-789.566666666658,16,2
-616.399999999994,16,2
-499.666666666664,16,2
-132.23333333333,16,2
-49.2333333333299,16,2
-47.6333333333314,16,2
937.200000000004,16,2
995.300000000003,16,2
1006.33333333334,16,2
1415.26666666667,16,2
1518.5,16,2
1528.10000000001,16,2
1644.86666666667,16,2
1896.53333333333,16,2
2262.13333333333,16,2
2286.8,16,2
-917.566666666557,32,2
-808.366666666552,32,2
-793.333333333219,32,2
-763.066666666549,32,2
-613.033333333216,32,2
-547.366666666552,32,2
-327.899999999878,32,2
328.066666666782,32,2
834.900000000118,32,2
1340.10000000011,32,2
1422.30000000012,32,2
1614.30000000012,32,2
1642.66666666678,32,2
1740.56666666678,32,2
1823.76666666679,32,2
1915.73333333345,32,2
1923.50000000012,32,2
1928.73333333345,32,2
1972.00000000012,32,2
2011.63333333345,32,2
2163.66666666678,32,2
2287.80000000012,32,2
2311.36666666679,32,2
2485.16666666678,32,2
2558.70000000011,32,2
-643.36666666661,64,2
-510.833333333278,64,2
-493.299999999945,64,2
-491.166666666613,64,2
-486.999999999949,64,2
-276.86666666661,64,2
-200.36666666661,64,2
184.900000000052,64,2
269.033333333391,64,2
392.933333333385,64,2
613.500000000058,64,2
843.900000000052,64,2
909.033333333391,64,2
1036.20000000006,64,2
1895.2333333334,64,2
2087.20000000006,64,2
2110.96666666673,64,2
2126.56666666672,64,2
2171.86666666672,64,2
2189.30000000006,64,2
2283.70000000006,64,2
2622.36666666672,64,2
2624.43333333339,64,2
2734.33333333339,64,2
-852.600000000006,128,2
-827.933333333334,128,2
38.1666666666715,128,2
54.3333333333358,128,2
141.5,128,2
651.666666666664,128,2
1023.66666666666,128,2
1041.06666666667,128,2
1068.9,128,2
1247.5,128,2
1423.56666666667,128,2
1442.26666666667,128,2
1494.56666666667,128,2
