spikes,type,rep,pulse_width,isi,n_pulses,expt,cell
1109.96666666666,pulse,1,20,NaN,NaN,pinp,1
1419.6,pulse,1,20,NaN,NaN,pinp,1
-444.533333333334,pulse,2,20,NaN,NaN,pinp,1
-399.966666666667,pulse,2,20,NaN,NaN,pinp,1
-341.766666666667,pulse,2,20,NaN,NaN,pinp,1
-288.8,pulse,2,20,NaN,NaN,pinp,1
126.833333333333,pulse,2,20,NaN,NaN,pinp,1
734.233333333333,pulse,2,20,NaN,NaN,pinp,1
737.733333333333,pulse,2,20,NaN,NaN,pinp,1
792.533333333333,pulse,2,20,NaN,NaN,pinp,1
1106.63333333333,pulse,2,20,NaN,NaN,pinp,1
1460.8,pulse,2,20,NaN,NaN,pinp,1
1608.83333333333,pulse,2,20,NaN,NaN,pinp,1
-577.733333333338,pulse,3,20,NaN,NaN,pinp,1
-339.566666666672,pulse,3,20,NaN,NaN,pinp,1
-310.066666666671,pulse,3,20,NaN,NaN,pinp,1
-256.133333333338,pulse,3,20,NaN,NaN,pinp,1
-71.7333333333379,pulse,3,20,NaN,NaN,pinp,1
104.066666666661,pulse,3,20,NaN,NaN,pinp,1
160.033333333329,pulse,3,20,NaN,NaN,pinp,1
519.566666666663,pulse,3,20,NaN,NaN,pinp,1
702.699999999995,pulse,3,20,NaN,NaN,pinp,1
733.699999999995,pulse,3,20,NaN,NaN,pinp,1
742.533333333329,pulse,3,20,NaN,NaN,pinp,1
892.633333333329,pulse,3,20,NaN,NaN,pinp,1
908.099999999996,pulse,3,20,NaN,NaN,pinp,1
1063.6,pulse,3,20,NaN,NaN,pinp,1
1604.9,pulse,3,20,NaN,NaN,pinp,1
-587.266666666663,pulse,4,20,NaN,NaN,pinp,1
155.433333333336,pulse,4,20,NaN,NaN,pinp,1
396.366666666671,pulse,4,20,NaN,NaN,pinp,1
411.333333333337,pulse,4,20,NaN,NaN,pinp,1
550.86666666667,pulse,4,20,NaN,NaN,pinp,1
1083.9,pulse,4,20,NaN,NaN,pinp,1
1150.6,pulse,4,20,NaN,NaN,pinp,1
1183.46666666667,pulse,4,20,NaN,NaN,pinp,1
1700.46666666667,pulse,4,20,NaN,NaN,pinp,1
-507.500000000007,pulse,5,20,NaN,NaN,pinp,1
-359.366666666675,pulse,5,20,NaN,NaN,pinp,1
-183.833333333341,pulse,5,20,NaN,NaN,pinp,1
105.966666666658,pulse,5,20,NaN,NaN,pinp,1
696.799999999993,pulse,5,20,NaN,NaN,pinp,1
758.599999999992,pulse,5,20,NaN,NaN,pinp,1
1170.63333333333,pulse,5,20,NaN,NaN,pinp,1
1229.16666666666,pulse,5,20,NaN,NaN,pinp,1
1282.79999999999,pulse,5,20,NaN,NaN,pinp,1
1460.36666666666,pulse,5,20,NaN,NaN,pinp,1
-365.666666666666,pulse,6,20,NaN,NaN,pinp,1
-193.166666666665,pulse,6,20,NaN,NaN,pinp,1
-46.9999999999988,pulse,6,20,NaN,NaN,pinp,1
89.8666666666674,pulse,6,20,NaN,NaN,pinp,1
116.866666666668,pulse,6,20,NaN,NaN,pinp,1
336.933333333334,pulse,6,20,NaN,NaN,pinp,1
559.000000000001,pulse,6,20,NaN,NaN,pinp,1
650.233333333334,pulse,6,20,NaN,NaN,pinp,1
1002.53333333333,pulse,6,20,NaN,NaN,pinp,1
1120.96666666667,pulse,6,20,NaN,NaN,pinp,1
1256.93333333334,pulse,6,20,NaN,NaN,pinp,1
1501.9,pulse,6,20,NaN,NaN,pinp,1
-65.2000000000044,pulse,7,20,NaN,NaN,pinp,1
127.299999999995,pulse,7,20,NaN,NaN,pinp,1
128.766666666664,pulse,7,20,NaN,NaN,pinp,1
161.399999999997,pulse,7,20,NaN,NaN,pinp,1
185.533333333328,pulse,7,20,NaN,NaN,pinp,1
206.933333333328,pulse,7,20,NaN,NaN,pinp,1
337.199999999996,pulse,7,20,NaN,NaN,pinp,1
385.033333333329,pulse,7,20,NaN,NaN,pinp,1
522.133333333329,pulse,7,20,NaN,NaN,pinp,1
1496.63333333333,pulse,7,20,NaN,NaN,pinp,1
1795.23333333333,pulse,7,20,NaN,NaN,pinp,1
-380.899999999997,pulse,8,20,NaN,NaN,pinp,1
-158.266666666663,pulse,8,20,NaN,NaN,pinp,1
1727.6,pulse,8,20,NaN,NaN,pinp,1
1737.8,pulse,8,20,NaN,NaN,pinp,1
-453.633333333336,pulse,9,20,NaN,NaN,pinp,1
-443.433333333335,pulse,9,20,NaN,NaN,pinp,1
588.63333333333,pulse,9,20,NaN,NaN,pinp,1
778.8,pulse,9,20,NaN,NaN,pinp,1
1570.73333333333,pulse,9,20,NaN,NaN,pinp,1
82.6666666666682,pulse,10,20,NaN,NaN,pinp,1
235.266666666668,pulse,10,20,NaN,NaN,pinp,1
473.633333333332,pulse,10,20,NaN,NaN,pinp,1
817.333333333334,pulse,10,20,NaN,NaN,pinp,1
846.433333333334,pulse,10,20,NaN,NaN,pinp,1
1757.2,pulse,10,20,NaN,NaN,pinp,1
-424.066666666672,pulse,11,20,NaN,NaN,pinp,1
-236.83333333334,pulse,11,20,NaN,NaN,pinp,1
-150.933333333338,pulse,11,20,NaN,NaN,pinp,1
215.366666666661,pulse,11,20,NaN,NaN,pinp,1
1291.53333333333,pulse,11,20,NaN,NaN,pinp,1
1683.13333333333,pulse,11,20,NaN,NaN,pinp,1
-514.133333333337,pulse,12,20,NaN,NaN,pinp,1
130.699999999997,pulse,12,20,NaN,NaN,pinp,1
742.63333333333,pulse,12,20,NaN,NaN,pinp,1
-242.933333333337,pulse,13,20,NaN,NaN,pinp,1
898.633333333333,pulse,13,20,NaN,NaN,pinp,1
1239.43333333333,pulse,13,20,NaN,NaN,pinp,1
1485.6,pulse,13,20,NaN,NaN,pinp,1
100.866666666661,pulse,14,20,NaN,NaN,pinp,1
117.399999999989,pulse,14,20,NaN,NaN,pinp,1
827.899999999993,pulse,14,20,NaN,NaN,pinp,1
1701.26666666665,pulse,14,20,NaN,NaN,pinp,1
-490.866666666676,pulse,15,20,NaN,NaN,pinp,1
-15.8333333333402,pulse,15,20,NaN,NaN,pinp,1
540.46666666666,pulse,15,20,NaN,NaN,pinp,1
1267.83333333333,pulse,15,20,NaN,NaN,pinp,1
1609.53333333332,pulse,15,20,NaN,NaN,pinp,1
-550.333333333334,pulse,16,20,NaN,NaN,pinp,1
-174.33333333333,pulse,16,20,NaN,NaN,pinp,1
-129.233333333332,pulse,16,20,NaN,NaN,pinp,1
206.099999999992,pulse,17,20,NaN,NaN,pinp,1
1104.29999999999,pulse,17,20,NaN,NaN,pinp,1
133.100000000006,pulse,18,20,NaN,NaN,pinp,1
315.433333333338,pulse,18,20,NaN,NaN,pinp,1
757.533333333335,pulse,18,20,NaN,NaN,pinp,1
924.76666666667,pulse,18,20,NaN,NaN,pinp,1
275.133333333329,pulse,19,20,NaN,NaN,pinp,1
302.399999999999,pulse,19,20,NaN,NaN,pinp,1
863.500000000002,pulse,19,20,NaN,NaN,pinp,1
