cell,expt,isi,n_pulses,pulse_width,rep,spikes,type
1,pinp,NaN,NaN,20,1,1109.96666666666,pulse
1,pinp,NaN,NaN,20,1,1419.6,pulse
1,pinp,NaN,NaN,20,2,-444.533333333334,pulse
1,pinp,NaN,NaN,20,2,-399.966666666667,pulse
1,pinp,NaN,NaN,20,2,-341.766666666667,pulse
1,pinp,NaN,NaN,20,2,-288.8,pulse
1,pinp,NaN,NaN,20,2,126.833333333333,pulse
1,pinp,NaN,NaN,20,2,734.233333333333,pulse
1,pinp,NaN,NaN,20,2,737.733333333333,pulse
1,pinp,NaN,NaN,20,2,792.533333333333,pulse
1,pinp,NaN,NaN,20,2,1106.63333333333,pulse
1,pinp,NaN,NaN,20,2,1460.8,pulse
1,pinp,NaN,NaN,20,2,1608.83333333333,pulse
1,pinp,NaN,NaN,20,3,-577.733333333338,pulse
1,pinp,NaN,NaN,20,3,-339.566666666672,pulse
1,pinp,NaN,NaN,20,3,-310.066666666671,pulse
1,pinp,NaN,NaN,20,3,-256.133333333338,pulse
1,pinp,NaN,NaN,20,3,-71.7333333333379,pulse
1,pinp,NaN,NaN,20,3,104.066666666661,pulse
1,pinp,NaN,NaN,20,3,160.033333333329,pulse
1,pinp,NaN,NaN,20,3,519.566666666663,pulse
1,pinp,NaN,NaN,20,3,702.699999999995,pulse
1,pinp,NaN,NaN,20,3,733.699999999995,pulse
1,pinp,NaN,NaN,20,3,742.533333333329,pulse
1,pinp,NaN,NaN,20,3,892.633333333329,pulse
1,pinp,NaN,NaN,20,3,908.099999999996,pulse
1,pinp,NaN,NaN,20,3,1063.6,pulse
1,pinp,NaN,NaN,20,3,1604.9,pulse
1,pinp,NaN,NaN,20,4,-587.266666666663,pulse
1,pinp,NaN,NaN,20,4,155.433333333336,pulse
1,pinp,NaN,NaN,20,4,396.366666666671,pulse
1,pinp,NaN,NaN,20,4,411.333333333337,pulse
1,pinp,NaN,NaN,20,4,550.86666666667,pulse
1,pinp,NaN,NaN,20,4,1083.9,pulse
1,pinp,NaN,NaN,20,4,1150.6,pulse
1,pinp,NaN,NaN,20,4,1183.46666666667,pulse
1,pinp,NaN,NaN,20,4,1700.46666666667,pulse
1,pinp,NaN,NaN,20,5,-507.500000000007,pulse
1,pinp,NaN,NaN,20,5,-359.366666666675,pulse
1,pinp,NaN,NaN,20,5,-183.833333333341,pulse
1,pinp,NaN,NaN,20,5,105.966666666658,pulse
1,pinp,NaN,NaN,20,5,696.799999999993,pulse
1,pinp,NaN,NaN,20,5,758.599999999992,pulse
1,pinp,NaN,NaN,20,5,1170.63333333333,pulse
1,pinp,NaN,NaN,20,5,1229.16666666666,pulse
1,pinp,NaN,NaN,20,5,1282.79999999999,pulse
1,pinp,NaN,NaN,20,5,1460.36666666666,pulse
1,pinp,NaN,NaN,20,6,-365.666666666666,pulse
1,pinp,NaN,NaN,20,6,-193.166666666665,pulse
1,pinp,NaN,NaN,20,6,-46.9999999999988,pulse
1,pinp,NaN,NaN,20,6,89.8666666666674,pulse
1,pinp,NaN,NaN,20,6,116.866666666668,pulse
1,pinp,NaN,NaN,20,6,336.933333333334,pulse
1,pinp,NaN,NaN,20,6,559.000000000001,pulse
1,pinp,NaN,NaN,20,6,650.233333333334,pulse
1,pinp,NaN,NaN,20,6,1002.53333333333,pulse
1,pinp,NaN,NaN,20,6,1120.96666666667,pulse
1,pinp,NaN,NaN,20,6,1256.93333333334,pulse
1,pinp,NaN,NaN,20,6,1501.9,pulse
1,pinp,NaN,NaN,20,7,-65.2000000000044,pulse
1,pinp,NaN,NaN,20,7,127.299999999995,pulse
1,pinp,NaN,NaN,20,7,128.766666666664,pulse
1,pinp,NaN,NaN,20,7,161.399999999997,pulse
1,pinp,NaN,NaN,20,7,185.533333333328,pulse
1,pinp,NaN,NaN,20,7,206.933333333328,pulse
1,pinp,NaN,NaN,20,7,337.199999999996,pulse
1,pinp,NaN,NaN,20,7,385.033333333329,pulse
1,pinp,NaN,NaN,20,7,522.133333333329,pulse
1,pinp,NaN,NaN,20,7,1496.63333333333,pulse
1,pinp,NaN,NaN,20,7,1795.23333333333,pulse
1,pinp,NaN,NaN,20,8,-380.899999999997,pulse
1,pinp,NaN,NaN,20,8,-158.266666666663,pulse
1,pinp,NaN,NaN,20,8,1727.6,pulse
1,pinp,NaN,NaN,20,8,1737.8,pulse
1,pinp,NaN,NaN,20,9,-453.633333333336,pulse
1,pinp,NaN,NaN,20,9,-443.433333333335,pulse
1,pinp,NaN,NaN,20,9,588.63333333333,pulse
1,pinp,NaN,NaN,20,9,778.8,pulse
1,pinp,NaN,NaN,20,9,1570.73333333333,pulse
1,pinp,NaN,NaN,20,10,82.6666666666682,pulse
1,pinp,NaN,NaN,20,10,235.266666666668,pulse
1,pinp,NaN,NaN,20,10,473.633333333332,pulse
1,pinp,NaN,NaN,20,10,817.333333333334,pulse
