cell,expt,isi,n_pulses,pulse_width,rep,spikes,type
1,pinp,NaN,NaN,20,1,-249.299999991308,pulse
1,pinp,NaN,NaN,20,1,-232.23333332453,pulse
1,pinp,NaN,NaN,20,1,-153.433333324756,pulse
1,pinp,NaN,NaN,20,2,157.300000006671,pulse
1,pinp,NaN,NaN,20,2,409.966666673427,pulse
1,pinp,NaN,NaN,20,3,577.43333334156,pulse
1,pinp,NaN,NaN,20,3,581.033333341566,pulse
1,pinp,NaN,NaN,20,3,594.733333341537,pulse
1,pinp,NaN,NaN,20,3,600.800000007894,pulse
1,pinp,NaN,NaN,20,3,613.000000008014,pulse
1,pinp,NaN,NaN,20,3,627.566666674738,pulse
1,pinp,NaN,NaN,20,3,637.300000008054,pulse
1,pinp,NaN,NaN,20,3,650.166666674522,pulse
1,pinp,NaN,NaN,20,3,659.733333341137,pulse
1,pinp,NaN,NaN,20,3,1065.53333334114,pulse
1,pinp,NaN,NaN,20,3,1069.40000000805,pulse
1,pinp,NaN,NaN,20,3,1442.90000000819,pulse
1,pinp,NaN,NaN,20,4,-394.699999993009,pulse
1,pinp,NaN,NaN,20,4,-387.533333326246,pulse
1,pinp,NaN,NaN,20,4,-95.2333333261777,pulse
1,pinp,NaN,NaN,20,4,306.466666673714,pulse
1,pinp,NaN,NaN,20,4,331.133333340404,pulse
1,pinp,NaN,NaN,20,4,729.03333334034,pulse
1,pinp,NaN,NaN,20,4,1583.46666667376,pulse
1,pinp,NaN,NaN,20,5,1583.83333334086,pulse
1,pinp,NaN,NaN,20,5,1589.60000000752,pulse
1,pinp,NaN,NaN,20,5,1715.30000000712,pulse
1,pinp,NaN,NaN,20,6,-487.333333327115,pulse
1,pinp,NaN,NaN,20,6,1626.20000000652,pulse
1,pinp,NaN,NaN,20,7,-581.766666662134,pulse
1,pinp,NaN,NaN,20,8,488.066666666327,pulse
1,pinp,NaN,NaN,20,8,871.56666666624,pulse
1,pinp,NaN,NaN,20,14,-345.566666670493,pulse
1,pinp,NaN,NaN,20,14,-98.7666666705991,pulse
1,pinp,NaN,NaN,20,14,-7.20000000364962,pulse
1,pinp,NaN,NaN,20,26,1589.59999999934,pulse
1,pinp,NaN,NaN,20,36,1312.66666666897,pulse
1,pinp,NaN,NaN,20,39,-73.6999999962791,pulse
1,pinp,NaN,NaN,20,41,1137.10000001038,pulse
1,pinp,NaN,NaN,20,41,1155.73333334396,pulse
1,pinp,100,10,10,3,1671.73333334313,train
1,pinp,100,10,10,4,1244.03333333112,train
1,pinp,100,10,10,4,1258.96666666449,train
1,pinp,100,10,10,5,1490.83333334011,train
1,pinp,100,10,10,5,1531.96666667327,train
1,pinp,100,10,10,10,-335.66666666502,train
1,pinp,100,10,10,10,1359.43333333535,train
1,pinp,100,10,10,11,533.000000010361,train
1,pinp,100,10,10,11,537.43333334387,train
1,pinp,100,10,10,11,1139.40000001048,train
1,pinp,100,10,10,11,1160.40000001067,train
1,pinp,100,10,10,11,1356.23333334388,train
1,pinp,100,10,10,12,-242.966666662142,train
1,pinp,100,10,10,13,195.133333330887,train
1,pinp,100,10,10,16,-196.533333324169,train
1,pinp,100,10,10,16,-183.699999990949,train
1,pinp,100,10,10,16,-164.76666665767,train
1,pinp,100,10,10,16,-127.66666665766,train
1,pinp,100,10,10,19,1473.60000000572,train
1,pinp,100,10,10,21,1411.83333333993,train
1,pinp,100,10,10,21,1722.46666667297,train
1,pinp,100,10,10,21,1729.53333333999,train
1,pinp,100,10,10,21,1736.66666667305,train
1,pinp,100,10,10,21,1742.60000000641,train
1,pinp,100,10,10,22,-586.866666665173,train
1,pinp,100,10,10,22,-579.799999998158,train
1,pinp,100,10,10,22,-572.6666666651,train
1,pinp,100,10,10,22,-566.73333333174,train
1,pinp,100,10,10,25,1029.70000000278,train
1,pinp,100,10,10,26,-15.3000000022985,train
1,pinp,100,10,10,26,-11.3000000023931,train
1,pinp,100,10,10,26,-6.76666666868186,train
1,pinp,100,10,10,26,475.166666664336,train
1,pinp,100,10,10,26,479.399999997895,train
1,pinp,100,10,10,27,872.633333338854,train
1,pinp,100,10,10,28,1496.93333333153,train
1,pinp,100,10,10,28,1503.59999999819,train
1,pinp,100,10,10,28,1597.66666666519,train
1,pinp,100,10,10,28,1730.23333333185,train
1,pinp,100,10,10,28,1743.66666666492,train
1,pinp,100,10,10,29,-449.233333324173,train
1,pinp,100,10,10,29,487.833333342678,train
1,pinp,100,10,10,29,492.000000009284,train
1,pinp,100,10,10,29,1161.1333333426,train
1,pinp,100,10,10,29,1171.13333334237,train
1,pinp,100,10,10,29,1191.7666666759,train
1,pinp,100,10,10,29,1394.63333334243,train
1,pinp,100,10,10,29,1511.50000000916,train
1,pinp,100,10,10,29,1530.26666667574,train
1,pinp,100,10,10,29,1547.73333334242,train
1,pinp,100,10,10,29,1627.4000000094,train
1,pinp,100,10,10,30,-494.333333331269,train
1,pinp,100,10,10,30,-342.866666664577,train
1,pinp,100,10,10,30,274.433333335764,train
1,pinp,100,10,10,33,519.93333333121,train
1,pinp,100,10,10,33,526.833333331524,train
1,pinp,100,10,10,34,-437.26666666953,train
1,pinp,100,10,10,36,1746.3333333335,train
1,pinp,100,10,10,36,1752.43333333356,train
1,pinp,100,10,10,37,-562.999999990097,train
1,pinp,100,10,10,37,-556.899999990037,train
1,pinp,100,10,10,38,-412.666666662972,train
1,pinp,100,10,10,38,-7.69999999602078,train
1,pinp,100,10,10,39,484.700000010434,train
1,pinp,100,10,10,41,-24.5000000004438,train
1,pinp,100,10,10,43,982.700000002296,train
1,pinp,100,10,10,45,3.66666666332094,train
1,pinp,100,10,10,46,-84.2999999945278,train
1,pinp,100,10,10,46,1188.16666667226,train
1,pinp,100,10,10,46,1216.2000000053,train
1,pinp,100,10,10,46,1379.06666667232,train
1,pinp,100,10,10,47,1084.83333333061,train
1,pinp,100,10,10,47,1760.16666666419,train
1,pinp,100,10,10,48,-559.833333328243,train
1,pinp,100,10,10,48,385.833333338269,train
1,pinp,100,10,10,48,558.566666671595,train
1,pinp,100,10,10,48,1130.06666667161,train
1,pinp,100,10,10,50,1583.50000000974,train
11,pinp,NaN,NaN,20,1,-558.399999991252,pulse
11,pinp,NaN,NaN,20,1,-542.966666657776,pulse
11,pinp,NaN,NaN,20,1,-532.766666658063,pulse
11,pinp,NaN,NaN,20,1,-529.199999991306,pulse
11,pinp,NaN,NaN,20,1,-394.833333324641,pulse
11,pinp,NaN,NaN,20,1,-340.866666657803,pulse
11,pinp,NaN,NaN,20,1,1329.10000000857,pulse
11,pinp,NaN,NaN,20,3,326.566666674807,pulse
11,pinp,NaN,NaN,20,3,382.666666674595,pulse
11,pinp,NaN,NaN,20,3,1204.83333334141,pulse
11,pinp,NaN,NaN,20,3,1233.80000000816,pulse
11,pinp,NaN,NaN,20,3,1431.00000000823,pulse
11,pinp,NaN,NaN,20,4,-359.166666659348,pulse
11,pinp,NaN,NaN,20,4,-35.7333333263341,pulse
11,pinp,NaN,NaN,20,4,-32.2666666597797,pulse
11,pinp,NaN,NaN,20,4,253.266666673881,pulse
11,pinp,NaN,NaN,20,7,361.866666671176,pulse
11,pinp,NaN,NaN,20,8,-196.066666667321,pulse
11,pinp,NaN,NaN,20,8,295.333333333019,pulse
11,pinp,NaN,NaN,20,8,420.299999999315,pulse
11,pinp,NaN,NaN,20,8,428.866666666181,pulse
11,pinp,NaN,NaN,20,8,662.333333332754,pulse
11,pinp,NaN,NaN,20,8,670.933333332869,pulse
11,pinp,NaN,NaN,20,8,828.699999999571,pulse
11,pinp,NaN,NaN,20,8,1441.66666666615,pulse
11,pinp,NaN,NaN,20,9,463.233333330663,pulse
11,pinp,NaN,NaN,20,9,633.466666663935,pulse
11,pinp,NaN,NaN,20,10,-96.7333333346687,pulse
11,pinp,NaN,NaN,20,13,863.933333343084,pulse
11,pinp,NaN,NaN,20,14,421.033333329433,pulse
11,pinp,NaN,NaN,20,14,1350.59999999612,pulse
11,pinp,NaN,NaN,20,15,-112.399999998615,pulse
11,pinp,NaN,NaN,20,15,-61.2333333315291,pulse
11,pinp,NaN,NaN,20,17,464.633333334405,pulse
11,pinp,NaN,NaN,20,17,982.40000000078,pulse
11,pinp,NaN,NaN,20,17,1587.86666666765,pulse
11,pinp,NaN,NaN,20,18,-49.7666666642544,pulse
11,pinp,NaN,NaN,20,18,23.6333333355105,pulse
11,pinp,NaN,NaN,20,18,144.566666668652,pulse
11,pinp,NaN,NaN,20,18,148.400000002312,pulse
11,pinp,NaN,NaN,20,18,337.633333335361,pulse
11,pinp,NaN,NaN,20,18,550.366666668651,pulse
11,pinp,NaN,NaN,20,18,803.83333333566,pulse
11,pinp,NaN,NaN,20,18,806.866666669066,pulse
11,pinp,NaN,NaN,20,18,817.833333335329,pulse
11,pinp,NaN,NaN,20,18,1259.43333333544,pulse
11,pinp,NaN,NaN,20,18,1481.23333333569,pulse
11,pinp,NaN,NaN,20,18,1575.53333333544,pulse
11,pinp,NaN,NaN,20,19,1428.90000000034,pulse
11,pinp,NaN,NaN,20,19,1557.80000000004,pulse
11,pinp,NaN,NaN,20,20,218.233333334865,pulse
11,pinp,NaN,NaN,20,20,351.033333334726,pulse
11,pinp,NaN,NaN,20,20,436.366666668164,pulse
11,pinp,NaN,NaN,20,20,458.166666668149,pulse
11,pinp,NaN,NaN,20,21,-298.16666666693,pulse
11,pinp,NaN,NaN,20,21,360.933333332923,pulse
11,pinp,NaN,NaN,20,21,635.233333332963,pulse
11,pinp,NaN,NaN,20,21,1097.96666666625,pulse
11,pinp,NaN,NaN,20,21,1744.23333333289,pulse
11,pinp,NaN,NaN,20,22,-495.833333332484,pulse
11,pinp,NaN,NaN,20,22,5.36666666766905,pulse
11,pinp,NaN,NaN,20,22,384.333333334325,pulse
11,pinp,NaN,NaN,20,22,621.166666667705,pulse
11,pinp,NaN,NaN,20,22,1024.7333333341,pulse
11,pinp,NaN,NaN,20,22,1249.56666666731,pulse
11,pinp,NaN,NaN,20,22,1448.76666666732,pulse
11,pinp,NaN,NaN,20,22,1566.30000000087,pulse
11,pinp,NaN,NaN,20,23,-369.700000000194,pulse
11,pinp,NaN,NaN,20,23,946.633333333466,pulse
11,pinp,NaN,NaN,20,23,1094.5333333334,pulse
11,pinp,NaN,NaN,20,24,438.166666666802,pulse
11,pinp,NaN,NaN,20,24,650.200000000041,pulse
11,pinp,NaN,NaN,20,25,1015.06666666592,pulse
11,pinp,NaN,NaN,20,25,1084.03333333263,pulse
11,pinp,NaN,NaN,20,25,1111.36666666607,pulse
11,pinp,NaN,NaN,20,25,1132.46666666601,pulse
11,pinp,NaN,NaN,20,27,-298.633333334692,pulse
11,pinp,NaN,NaN,20,29,-144.533333336767,pulse
11,pinp,NaN,NaN,20,30,129.999999997835,pulse
11,pinp,NaN,NaN,20,30,1269.49999999806,pulse
11,pinp,NaN,NaN,20,31,1645.16666666486,pulse
11,pinp,NaN,NaN,20,32,-594.866666670441,pulse
11,pinp,NaN,NaN,20,32,-424.300000003768,pulse
11,pinp,NaN,NaN,20,33,134.866666670405,pulse
11,pinp,NaN,NaN,20,35,979.133333337359,pulse
11,pinp,NaN,NaN,20,36,1407.63333333553,pulse
11,pinp,NaN,NaN,20,37,5.33333333578412,pulse
11,pinp,NaN,NaN,20,37,130.133333335834,pulse
11,pinp,NaN,NaN,20,37,387.466666668843,pulse
11,pinp,NaN,NaN,20,37,1703.76666666925,pulse
11,pinp,NaN,NaN,20,38,-520.266666662792,pulse
11,pinp,NaN,NaN,20,38,1772.63333333713,pulse
11,pinp,NaN,NaN,20,39,-456.733333329339,pulse
11,pinp,NaN,NaN,20,39,1569.0333333373,pulse
11,pinp,NaN,NaN,20,39,1703.56666667067,pulse
11,pinp,NaN,NaN,20,40,-536.233333325072,pulse
11,pinp,NaN,NaN,20,40,1171.86666667476,pulse
11,pinp,NaN,NaN,20,42,1086.16666667513,pulse
11,pinp,NaN,NaN,20,42,1096.7000000087,pulse
11,pinp,NaN,NaN,20,47,-265.433333333021,pulse
11,pinp,NaN,NaN,20,48,1784.70000000152,pulse
11,pinp,NaN,NaN,20,49,-449.766666659798,pulse
11,pinp,NaN,NaN,20,49,1142.16666667335,pulse
11,pinp,NaN,NaN,20,50,1336.16666667604,pulse
11,pinp,100,10,10,1,202.266666677133,train
11,pinp,100,10,10,1,509.133333343925,train
11,pinp,100,10,10,2,-499.833333331026,train
11,pinp,100,10,10,2,1668.9000000024,train
11,pinp,100,10,10,5,1444.50000000643,train
11,pinp,100,10,10,5,1467.20000000641,train
11,pinp,100,10,10,5,1522.40000000666,train
11,pinp,100,10,10,6,-476.266666661104,train
11,pinp,100,10,10,6,-429.833333327679,train
11,pinp,100,10,10,6,-427.199999994173,train
11,pinp,100,10,10,7,1249.06666667266,train
11,pinp,100,10,10,9,-365.333333324543,train
11,pinp,100,10,10,9,406.366666675694,train
11,pinp,100,10,10,10,705.666666668549,train
11,pinp,100,10,10,11,177.933333343844,train
11,pinp,100,10,10,12,-214.366666662045,train
11,pinp,100,10,10,12,-72.0666666620673,train
11,pinp,100,10,10,13,1418.46666666424,train
11,pinp,100,10,10,15,781.233333332693,train
