amps,cell,dur,expt,freqs,rep,spikes
40,1,25,tuning_curve,1414.21,1,-15.7999999967302
40,1,25,tuning_curve,1414.21,1,41.9666666699356
40,1,25,tuning_curve,4000,1,-79.8999999905092
40,1,25,tuning_curve,8000,1,9.69999999979088
40,1,25,tuning_curve,11313.7,1,-80.2999999995357
40,1,25,tuning_curve,22627.4,1,-8.90000000358526
40,1,25,tuning_curve,22627.4,1,3.26666666308117
40,1,25,tuning_curve,22627.4,1,25.3333333297476
40,1,25,tuning_curve,22627.4,1,41.0999999964146
40,1,25,tuning_curve,22627.4,1,79.166666663081
40,1,25,tuning_curve,45254.8,1,88.1666666630565
40,1,25,tuning_curve,64000,1,-83.0333333257354
40,1,25,tuning_curve,64000,1,-79.6666666590689
40,1,25,tuning_curve,64000,1,-68.333333325735
40,1,25,tuning_curve,64000,1,-40.3999999924016
55,1,25,tuning_curve,2828.43,1,-3.56666666181837
55,1,25,tuning_curve,5656.85,1,-43.0666666581843
55,1,25,tuning_curve,5656.85,1,-8.96666665818202
55,1,25,tuning_curve,8000,1,-72.1999999949006
55,1,25,tuning_curve,8000,1,-5.76666666156456
55,1,25,tuning_curve,16000,1,65.2666666709649
55,1,25,tuning_curve,45254.8,1,71.6666666659691
55,1,25,tuning_curve,45254.8,1,75.9999999993006
70,1,25,tuning_curve,-1,1,24.200000004587
70,1,25,tuning_curve,-1,1,38.2000000045863
70,1,25,tuning_curve,2000,1,-12.9666666657124
70,1,25,tuning_curve,2000,1,22.5000000009548
70,1,25,tuning_curve,2000,1,27.1666666676209
70,1,25,tuning_curve,2000,1,35.1666666676209
70,1,25,tuning_curve,2828.43,1,-31.5333333295165
70,1,25,tuning_curve,4000,1,9.56666666374772
70,1,25,tuning_curve,22627.4,1,-98.7333333316585
70,1,25,tuning_curve,22627.4,1,-36.9999999983222
70,1,25,tuning_curve,32000,1,-85.8333333312373
70,1,25,tuning_curve,32000,1,-50.5666666645723
40,1,25,tuning_curve,1000,2,-39.7666666573642
40,1,25,tuning_curve,1000,2,58.6666666759754
40,1,25,tuning_curve,16000,2,61.833333338253
55,1,25,tuning_curve,-1,2,-88.5000000043448
55,1,25,tuning_curve,1000,2,59.2000000018373
55,1,25,tuning_curve,4000,2,-71.5333333368733
55,1,25,tuning_curve,4000,2,63.0333333297912
55,1,25,tuning_curve,8000,2,-88.7333333252087
55,1,25,tuning_curve,8000,2,6.00000000812884
55,1,25,tuning_curve,11313.7,2,49.6666666686778
55,1,25,tuning_curve,32000,2,58.3333333372735
55,1,25,tuning_curve,64000,2,73.1999999985433
70,1,25,tuning_curve,-1,2,-64.7666666636724
70,1,25,tuning_curve,-1,2,-29.1666666636701
70,1,25,tuning_curve,-1,2,29.8333333363274
40,1,25,tuning_curve,2828.43,3,-14.0666666660678
40,1,25,tuning_curve,5656.85,3,-54.9999999993247
